city,total_num_connections,avg_delivery_percent,avg_active_connections,annual_Kwh_millions,year
LOOSBROEK,486,19.4,100,0.198,2020
LOOSBROEK,476,12.1,100,0.201,2018
LOOSBROEK,481,14.32,100,0.202,2019
LUYKSGESTEL,1221,17.59,100,0.29,2020
LUYKSGESTEL,1216,11.31,100,0.288,2019
LUYKSGESTEL,1187,7.27,100,0.298,2018
MAASDIJK,1893,4.03,99.99,0.726,2019
MAASDIJK,2054,12.08,99.78,0.528,2020
MAASDIJK,2034,8.28,99.95,0.587,2018
MAASHEES,468,11.8,100,0.11,2018
MAASHEES,468,15.89,100,0.111,2019
MAASHEES,459,21.3,100,0.11,2020
MAASLAND,2970,17.75,99.69,0.572,2020
MAASLAND,2953,10.4,99.94,0.613,2018
MAASLAND,2697,2.38,100,0.719,2019
MAASSLUIS,116,48.7,100,0.012,2020
MAASSLUIS,89,0,100,0.003,2019
MAASSLUIS,53,6.88,58.51,0.013,2018
MACHAREN,292,8.14,100,0.138,2018
MACHAREN,294,10.31,100,0.137,2019
MACHAREN,293,24.34,100,0.123,2020
MADE,5549,7.52,100,1.155,2019
MADE,5528,10.09,100,1.114,2020
MADE,5543,5.11,100,1.16,2018
MAREN-KESSEL,580,17.75,100,0.255,2020
MAREN-KESSEL,575,10.28,100,0.26,2019
MAREN-KESSEL,576,7.48,100,0.254,2018
MARIAHOUT,759,10.65,100,0.388,2019
MARIAHOUT,787,19.72,100,0.375,2020
MARIAHOUT,757,6.53,100,0.385,2018
MEEUWEN,302,7.58,100,0.095,2018
MEEUWEN,302,12.86,100,0.089,2020
MEEUWEN,302,9.73,100,0.093,2019
MEGEN,690,6.58,100,0.178,2018
MEGEN,693,9.51,100,0.172,2019
MEGEN,694,18.19,100,0.167,2020
MEIJEL,2737,10.55,100,0.838,2018
MEIJEL,2748,13.06,100,0.825,2019
MEIJEL,2773,18.54,100,0.814,2020
MERSELO,464,17.09,100,0.153,2018
MERSELO,453,24.52,100,0.136,2020
MERSELO,464,21.36,100,0.144,2019
MIERLO,4800,13.18,100,1.056,2019
MIERLO,4746,20.58,100,1.024,2020
MIERLO,4736,7.53,100,1.071,2018
MILHEEZE,874,8.89,100,0.391,2019
MILHEEZE,880,13.04,100,0.386,2020
MILHEEZE,867,6.61,100,0.402,2018
MILL,2768,7.61,100,0.798,2018
MILL,2754,11.39,100,0.791,2019
MILL,2780,15.84,100,0.753,2020
MOERDIJK,643,5.55,100,0.285,2019
MOERDIJK,640,3.68,100,0.292,2018
MOERDIJK,639,9.23,100,0.265,2020
MOERGESTEL,2534,10.71,100,0.749,2019
MOERGESTEL,2527,8.62,100,0.767,2018
MOERGESTEL,2533,14.68,100,0.732,2020
MOERSTRATEN,237,21.95,100,0.101,2020
MOERSTRATEN,259,15.47,100,0.12,2018
MOERSTRATEN,239,16.83,100,0.118,2019
MOLENSCHOT,519,11.59,100,0.224,2019
MOLENSCHOT,515,16.85,100,0.209,2020
MOLENSCHOT,518,9.8,100,0.229,2018
MONSTER,5915,1.77,99.98,1.476,2019
MONSTER,6200,4.5,99.6,1.301,2018
MONSTER,6245,9.5,99.82,1.201,2020
NAALDWIJK,8155,2.6,99.97,2.165,2019
NAALDWIJK,10150,12.24,99.82,1.833,2020
NAALDWIJK,9656,6.74,99.66,1.915,2018
NEERKANT,810,11.26,100,0.309,2020
NEERKANT,812,5.09,100,0.326,2018
